no,?⑥뼱,???깃툒,蹂??,蹂??,,,,,
1507,jar,(?꾧?由ш? ?볦?)??븘由?以묎퀬,,,,,,,
1508,jaw,??以묎퀬,,,,,,,
1509,jeans,泥?컮吏,珥덈벑,,,,,,
1510,jet,(媛?ㅻ벑??遺꾩텧,以묎퀬,,,,,,
1511,job,??珥덈벑,,,,,,,
1512,jog,?댁쭩 諛???쒖빱???吏곸씠??怨좊Ⅴ吏 ?딆쓬,以묎퀬,,,,,,
1513,join,寃고빀?섎떎,珥덈벑,,,,,,
1514,joint,?댁쓬留?以묎퀬,,,,,,,
1515,joke,?띾떞,以묎퀬,,,,,,
1516,journal,?쇨컙?좊Ц,以묎퀬,,,,,,
1517,journey,?ы뻾,以묎퀬,,,,,,
1518,joy,利먭굅?,珥덈벑,,,,,,
1519,judge,?ы뙋愿,以묎퀬,,,,,,
1520,judicial,?щ쾿???꾨Ц,,,,,,,
1521,junior,?먯븘?섏궗??以묎퀬,,,,,,,
1522,jury,諛곗떖,以묎퀬,,,,,,
1523,just,?щ컮瑜?珥덈벑,,,,,,,
1524,justice,?뺤쓽,以묎퀬,,,,,,
1525,justify,?노떎怨??섎떎,以묎퀬,,,,,,
1526,keen,?좎뭅濡쒖슫,?꾨Ц,,,,,,
1527,keep,怨꾩냽?섎떎,珥덈벑,,,,,,
1528,key,?댁뇿,珥덈벑,,,,,,
1529,kick,嫄룹뼱李⑤떎,珥덈벑,,,,,,
1530,kid,?꾩씠,珥덈벑,,,,,,
1531,kill,二쎌씠??珥덈벑,,,,,,,
1532,kind,移쒖젅??珥덈벑,,,,,,,
1533,king,??珥덈벑,,,,,,,
1534,kit,?곗옣??以묎퀬,,,,,,,
1535,kitchen,遺??珥덈벑,,,,,,,
1536,knee,臾대쫷,以묎퀬,,,,,,
1537,knife,?섏씠??珥덈벑,,,,,,,
1538,knight,(以묒꽭??湲곗궗,以묎퀬,,,,,,
1539,knock,移섎떎,以묎퀬,,,,,,
1540,knot,留ㅻ벊(=tie),?꾨Ц,,,,,,
1541,know,?뚮떎,珥덈벑,,,,,,
1542,label,?쇰꺼,以묎퀬,,,,,,
1543,labor,?몃룞,以묎퀬,labour,,,,,
1544,laboratory,?ㅽ뿕??以묎퀬,lab,,,,,,
1545,lack,寃고븤,以묎퀬,,,,,,
1546,ladder,?щ떏?ㅻ━,以묎퀬,,,,,,
1547,lady,洹遺??珥덈벑,,,,,,,
1548,lake,?몄닔,珥덈벑,,,,,,
1549,lamb,?대┛ ??以묎퀬,,,,,,,
1550,lamp,??以묎퀬,,,,,,,
1551,land,萸?珥덈벑,,,,,,,
1552,landscape,?띻꼍,以묎퀬,,,,,,
1553,lane,醫곸?湲?以묎퀬,,,,,,,
1554,language,?몄뼱,以묎퀬,,,,,,
1555,lap,臾대쫷,以묎퀬,,,,,,
1556,large,??珥덈벑,,,,,,,
1557,last,怨꾩냽?섎떎,珥덈벑,,,,,,
1558,late,???,珥덈벑,,,,,,
1559,latter,?ㅼそ??以묎퀬,,,,,,,
1560,laugh,(?뚮━?댁뼱)?껊떎,以묎퀬,,,,,,
1561,launch,吏꾩닔?쒗궎??以묎퀬,,,,,,,
1562,laundry,?명긽臾?以묎퀬,,,,,,,
1563,law,踰뺣쪧,以묎퀬,,,,,,
1564,lawn,?붾뵒諛?以묎퀬,,,,,,,
1565,lawyer,踰뺣쪧媛,以묎퀬,,,,,,
1566,lay,?뺥엳??以묎퀬,,,,,,,
1567,layer,痢?以묎퀬,,,,,,,
1568,lazy,寃뚯쑝瑜?珥덈벑,,,,,,,
1569,lead,?대걣??以묎퀬,,,,,,,
1570,leaf,??珥덈벑,,,,,,,
1571,leak,??以묎퀬,,,,,,,
1572,lean,湲곕???以묎퀬,,,,,,,
1573,leap,猿묒땐 ?곕떎,以묎퀬,,,,,,
1574,learn,諛곗슦??珥덈벑,,,,,,,
1575,lease,?꾨?李??꾨Ц,,,,,,,
1576,leather,臾대몢吏덊븳 媛二?以묎퀬,,,,,,,
1577,leave,?④린怨좉???以묎퀬,,,,,,,
1578,lecture,媛뺤쓽,以묎퀬,,,,,,
1579,left,?쇱そ??珥덈벑,,,,,,,
1580,leg,?ㅻ━,珥덈벑,,,,,,
1581,legal,踰뺣쪧?곸쓽,以묎퀬,,,,,,
1582,legend,?꾩꽕,以묎퀬,,,,,,
1583,legislate,踰뺣쪧???쒖젙?섎떎,?꾨Ц,,,,,,
1584,legitimate,?⑸쾿???꾨Ц,,,,,,,
1585,leisure,??以묎퀬,,,,,,,
1586,lend,鍮뚮━??以묎퀬,,,,,,,
1587,lesson,?숆낵,珥덈벑,,,,,,
1588,let,?쒗궎??以묎퀬,,,,,,,
1589,letter,?몄?,珥덈벑,,,,,,
1590,level,?섑룊??以묎퀬,,,,,,,
1591,liberal,?먯쑀二쇱쓽??以묎퀬,,,,,,,
1592,liberty,?먯쑀,以묎퀬,,,,,,
1593,library,?꾩꽌愿,珥덈벑,,,,,,
1594,license,硫댄뿀,以묎퀬,licence,,,,,
1595,lid,?쒓퍚,以묎퀬,,,,,,
1596,lie,?뺣떎,珥덈벑,,,,,,
1597,lift,?뚯뼱?щ━??以묎퀬,,,,,,,
1598,light,鍮?珥덈벑,,,,,,,
1599,like,醫뗭븘?섎떎,珥덈벑,,,,,,
1600,likely,?덉쓣 踰뺥븳,以묎퀬,,,,,,
1601,likewise,"媛숈씠, 留덉갔媛吏濡?,以묎퀬,,
1602,limit,?쒓퀎,以묎퀬,,
1603,line,??珥덈벑,,
1604,linguistic,留먯쓽,以묎퀬,,
1605,link,?ъ뒳??怨좊━,以묎퀬,,
1606,lion,?ъ옄,珥덈벑,,
1607,lip,?낆닠,珥덈벑,,
1608,liquid,?≪껜,以묎퀬,,
1609,list,?쇰엺??以묎퀬,,
1610,listen,寃쎌껌?섎떎,珥덈벑,,
1611,literal,臾몄옄???꾨Ц,,
1612,literature,臾명븰,以묎퀬,,
1613,little,?묒?,珥덈벑,,
1614,live,?대떎,珥덈벑,,
1615,livingroom,嫄곗떎,珥덈벑,,
1616,load,吏?以묎퀬,,
1617,loan,?遺,以묎퀬,,
1618,local,?μ냼??以묎퀬,,
1619,locate,愿泥??깆쓣 ?먮떎,以묎퀬,,
1620,lock,?먮Ъ??以묎퀬,,
1621,log,?듬굹臾?以묎퀬,,
1622,logic,?쇰━??以묎퀬,,
1623,lone,?쇱옄???꾨Ц,,
1624,long,(湲몄씠",?쒓컙 ??湲?,珥덈벑,,,,,
1625,look,蹂대떎,珥덈벑,,,,,,
1626,loose,??댁쭊,以묎퀬,,,,,,
1627,lose,?껊떎,以묎퀬,,,,,,
1628,loss,?껋쓬,以묎퀬,,,,,,
1629,lot,?쒕퉬,以묎퀬,,,,,,
1630,loud,?쒕걚?ъ슫,以묎퀬,,,,,,
1631,lounge,鍮덈뫁嫄곕━??以묎퀬,,,,,,,
1632,love,?щ옉,珥덈벑,,,,,,
1633,low,???,珥덈벑,,,,,,
1634,loyal,異⑹꽦?ㅻ윭??以묎퀬,,,,,,,
1635,luck,??珥덈벑,,,,,,,
1636,lump,?⑹뼱由??꾨Ц,,,,,,,
1637,lunch,?먯떖,珥덈벑,,,,,,
1638,luxury,?ъ튂,以묎퀬,,,,,,
1639,machine,湲곌퀎,以묎퀬,,,,,,
1640,mad,誘몄튇,珥덈벑,,,,,,
1641,magazine,?≪?,以묎퀬,,,,,,
1642,magnet,?먯꽍,以묎퀬,,,,,,
1643,magnificent,?λ????꾨Ц,,,,,,,
1644,mail,?고렪臾?珥덈벑,,,,,,,
1645,main,二쇱슂??以묎퀬,,,,,,,
1646,maintain,怨꾩냽?섎떎,以묎퀬,,,,,,
1647,major,?곗そ??以묎퀬,,,,,,,
1648,majority,??ㅼ닔,以묎퀬,,,,,,
1649,make,留뚮뱾??珥덈벑,,,,,,,
1650,male,?⑥꽦??以묎퀬,,,,,,,
1651,man,?⑥옄,珥덈벑,,,,,,
1652,manage,愿由ы븯??以묎퀬,,,,,,,
1653,manifest,紐낅갚???섎떎,?꾨Ц,,,,,,
1654,manipulate,(?먯쑝濡??ㅻ（???꾨Ц,,,,,,,
1655,manner,諛⑸쾿,以묎퀬,,,,,,
1656,manufacture,?쒖“?섎떎,以묎퀬,,,,,,
1657,many,留롮?,珥덈벑,,,,,,
1658,map,吏??珥덈벑,,,,,,,
1659,margin,媛?μ옄由?以묎퀬,,,,,,,
1660,marine,諛붾떎??以묎퀬,,,,,,,
1661,mark,??以묎퀬,,,,,,,
1662,marry,寃고샎?섎떎,珥덈벑,,,,,,
1663,marvel,寃쎌씠,以묎퀬,,,,,,
1664,mass,?⑹뼱由?以묎퀬,,,,,,,
1665,master,??以묎퀬,,,,,,,
1666,match,?깅깷,以묎퀬,,,,,,
1667,mate,?곷?,以묎퀬,,,,,,
1668,material,?먮즺,以묎퀬,,,,,,
1669,mathematics,?섑븰,珥덈벑,maths,math,,,,
1670,matter,臾쇱쭏,以묎퀬,,,,,,
1671,mature,?듭?,以묎퀬,,,,,,
1672,maximum,理쒓퀬??以묎퀬,,,,,,,
1673,may,"5?? 泥?텣, ?몄깮??遊? ?곗궗?섎Т, ?꾧??꾨굹臾?,珥덈벑,,
1674,maybe,?꾨쭏,以묎퀬,,
1675,mayor,?쒖옣,以묎퀬,,
1676,meal,?앹궗,以묎퀬,,
1677,mean,?섎??섎떎,以묎퀬,,
1678,meantime,洹몃룞??洹??ъ씠??以묎퀬,,
1679,meanwhile,洹몃룞???꾨Ц,,
1680,measure,?щ떎,以묎퀬,,
1681,meat,(?앹슜吏먯듅??怨좉린,珥덈벑,,
1682,mechanic,吏곴났,以묎퀬,,
1683,mechanism,(湲곌퀎)?μ튂,以묎퀬,,
1684,mediate,以묒옱?섎떎,以묎퀬,,
1685,medical,?섑븰??以묎퀬,,
1686,medicine,??以묎퀬,,
1687,medieval,以묒꽭(?????꾨Ц,,
1688,medium,以묎컙,以묎퀬,,
1689,meet,-??留뚮굹??珥덈벑,,
1690,melt,?밸떎,以묎퀬,,
1691,memory,湲곗뼲,珥덈벑,,
1692,mental,留덉쓬??以묎퀬,,
1693,mention,留먰븯??以묎퀬,,
1694,merchant,?곸씤,以묎퀬,,
1695,mere,?⑥닚???꾨Ц,,
1696,merge,?⑸퀝?섎떎,?꾨Ц,,
1697,merit,?μ젏,以묎퀬,,
1698,mess,?쇰?,以묎퀬,,
1699,metal,湲덉냽,以묎퀬,,
1700,method,諛⑸쾿,以묎퀬,,
1701,metropolitan,?섎룄沅???,?꾨Ц,,
1702,microphone,?뺤꽦湲?以묎퀬,,
1703,microwave,洹뱀큹?⑦뙆 ?꾩옄?덉씤吏濡??붾━?섎떎,以묎퀬,,
1704,middle,?쒕났?먯쓽,珥덈벑,,
1705,might,??珥덈벑,,
1706,migrate,?댁＜?섎떎,?꾨Ц,,
1707,mild,?⑦썑??以묎퀬,,
1708,military,援곗쓽,以묎퀬,,
1709,milk,??珥덈벑,,
1710,mill,硫㏓룎,以묎퀬,,
1711,million,諛깅쭔,以묎퀬,,
1712,mind,留덉쓬,珥덈벑,,
1713,miner,愿묒궛?낆옄,以묎퀬,,
1714,mineral,愿묐Ъ,以묎퀬,,
1715,minimal,理쒖냼(?쒕룄)??以묎퀬,,
1716,minimum,理쒖냼 ?쒕룄,以묎퀬,,
1717,ministry,?κ?(紐⑹궗)??吏??뚯엫),以묎퀬,,
1718,minor,?묒? ?몄쓽,以묎퀬,,
1719,minute,遺?以묎퀬,,
1720,miracle,湲곗쟻,以묎퀬,,
1721,mirror,嫄곗슱,珥덈벑,,
1722,miss,誘명샎 ?ъ꽦 ?ㅼ닔?섎떎,珥덈벑,,
1723,missile,誘몄궗??以묎퀬,,
1724,mission,?щ챸,以묎퀬,,
1725,mistake,?由щ떎,以묎퀬,,
1726,mix,?욌떎,以묎퀬,,
1727,mobile,?吏곸씠湲??ъ슫,以묎퀬,,
1728,mock,議곕”?섎떎,?꾨Ц,,
1729,mode,諛⑸쾿,以묎퀬,,
1730,moderate,?덉젣?섎뒗,?꾨Ц,,
1731,modern,?꾨???以묎퀬,,
1732,modest,寃몄넀???꾨Ц,,
1733,modify,蹂寃쏀븯???꾨Ц,,
1734,moisture,?듦린,以묎퀬,,
1735,molecule,遺꾩옄,?꾨Ц,,
1736,moment,?쒓컙,以묎퀬,,
1737,money,湲덉쟾,珥덈벑,,
1738,monitor,異⑷퀬??以묎퀬,,
1739,monkey,?먯댂??珥덈벑,,
1740,monster,愿대Ъ,以묎퀬,,
1741,month,??珥덈벑,,
1742,monument,湲곕뀗鍮??꾨Ц,,
1743,mood,(?쇱떆?곸씤)湲곕텇,以묎퀬,,
1744,moon,??珥덈벑,,
1745,moral,?꾨뜒??以묎퀬,,
1746,moreover,洹??꾩뿉,以묎퀬,,
1747,morning,?꾩묠,珥덈벑,,
1748,mortal,二쎌쓣?대챸???꾨Ц,,
1749,mother,?대㉧??珥덈벑,,
1750,motion,?대룞,以묎퀬,,
1751,motive,?숆린,以묎퀬,,
1752,mount,??以묎퀬,,
1753,mountain,??珥덈벑,,
1754,mouse,?덉븰伊?珥덈벑,,
1755,mouth,??珥덈벑,,
1756,move,?吏곸씠??珥덈벑,,
1757,movie,?곹솕,珥덈벑,,
1758,much,留롮?,珥덈벑,,
1759,mud,吏꾪쓾,以묎퀬,,
1760,multiple,蹂듯빀??以묎퀬,,
1761,multiply,?섎━??以묎퀬,,
1762,murder,?댁씤,以묎퀬,,
1763,muscle,洹쇱쑁,以묎퀬,,
1764,museum,諛뺣Ъ愿,珥덈벑,,
1765,mushroom,踰꾩꽢,以묎퀬,,
1766,music,?뚯븙,珥덈벑,,
1767,must,-?댁빞 ?쒕떎,珥덈벑,,
1768,mutual,?곹샇???꾨Ц,,
1769,myth,?좏솕,以묎퀬,,
1770,nail,?먰넲,以묎퀬,,
1771,naive,?뚮컯???꾨Ц,,
1772,naked,諛쒓?踰쀬?,以묎퀬,,
1773,name,?대쫫,珥덈벑,,
1774,nanny,?좊え,?꾨Ц,,
1775,narrate,?댁빞湲고븯??以묎퀬,,
1776,narrow,醫곸?,以묎퀬,,
1777,nasty,遺덉풄???꾨Ц,,
1778,nation,援??,珥덈벑,,
1779,native,?怨좊궃,以묎퀬,,
1780,nature,?먯뿰,珥덈벑,,
1781,navy,?닿뎔(??,以묎퀬,,
1782,near,媛源뚯씠 -??媛源뚯씠??媛源뚯슫 ?묎렐?섎떎,珥덈벑,,
1783,neat,?곕쑜??以묎퀬,,
1784,necessary,?꾩슂??以묎퀬,,
1785,neck,紐?珥덈벑,,
1786,need,?꾩슂,珥덈벑,,
1787,needle,諛붾뒛 諛붾뒛濡?轅곕ℓ??諛붾뒓吏덊븯???꾩뒳?꾩뒳??以묎퀬,,
1788,negative,遺?뺤쟻??以묎퀬,,
1789,neglect,寃뚯쓣由??섎떎,以묎퀬,,
1790,negotiate,援먯꽠?섎떎,以묎퀬,,
1791,neighbor,?댁썐?щ엺(?섎씪),以묎퀬,neighbour,
1792,neither,(?섏쨷)?대뒓履쎈룄 -?꾨땲??-???꾨땲??以묎퀬,,
1793,nephew,議곗뭅,以묎퀬,,
1794,nervous,?좉꼍??以묎퀬,,
1795,nest,蹂닿툑?먮━,以묎퀬,,
1796,net,洹몃Ъ,以묎퀬,,
1797,network,洹몃Ъ?멸났,以묎퀬,,
1798,neutral,以묐┰??以묎퀬,,
1799,never,寃곗퐫 -?꾨땲??珥덈벑,,
1800,nevertheless,洹몃읆?먮룄 遺덇뎄?섍퀬,以묎퀬,,
1801,new,?덈줈??珥덈벑,,
1802,newspaper,?좊Ц,珥덈벑,,
1803,next,?ㅼ쓬??珥덈벑,,
1804,nice,?덉뒪(?꾨옉???⑤?????뎄?꾩떆),珥덈벑,,
1805,night,諛?珥덈벑,,
1806,nightmare,?낅そ,以묎퀬,,
1807,no,臾댁쓽,珥덈벑,nope,nay
1808,noble,怨좉???以묎퀬,,
1809,nobody,?꾨Т??-?딅떎 ?섏갖? ?щ엺,以묎퀬,,
1810,nod,?꾨뜒?대떎,以묎퀬,,
1811,noise,?뚮━,以묎퀬,,
1812,nominate,異붿쿇?섎떎,?꾨Ц,,
1813,none,?꾨Т??議곌툑??-?딅떎 議곌툑??寃곗퐫)-?딅떎,以묎퀬,,
1814,nonetheless,??떆,?꾨Ц,,
1815,nonsense,?덊듉 ?뚮━,以묎퀬,,
1816,noon,?뺤삤,珥덈벑,,
1817,nor,-???먰븳-?딅떎,以묎퀬,,
1818,norm,?쒖?,?꾨Ц,,
1819,normal,?쒖?(??,以묎퀬,,
1820,north,遺? 遺?履? 遺곷?""",珥덈벑,,,,,,
1821,nose,肄?珥덈벑,,,,,,,
1822,not,?꾨땲??珥덈벑,,,,,,,
1823,note,湲곕줉,珥덈벑,,,,,,
1824,nothing,?꾨Т寃껊룄 ??뾾??珥덈벑,,,,,,,
1825,notice,"?듭?, ?듬낫",以묎퀬,,,,,,
1826,notion,"n,愿??,?꾨Ц,,
1827,novel,?뚯꽕,以묎퀬,,
1828,now,吏湲?珥덈벑,,
1829,nowadays,?ㅻ뒛?좎뿉?? ?붿쫰?뚯뿉??",以묎퀬,,,,,,
1830,nowhere,?꾨Т?곕룄 ??뾾??以묎퀬,,,,,,,
1831,nuclear,"?듭쓽, ?듭쓣 ?뺤꽦?섎뒗 ?먯옄?듭쓽",以묎퀬,,,,,,
1832,number,??珥덈벑,,,,,,,
1833,numerous,"???섏쓽, ?섎쭖?, ? ???놁씠 留롮?",?꾨Ц,,,,,,
1834,nun,?섎? 吏묐퉬?섍린???쇱쥌,?꾨Ц,,,,,,
1835,nurse,?좊え,珥덈벑,,,,,,
1836,nut,寃ш낵,以묎퀬,,,,,,
1837,oak,李몃굹臾?以묎퀬,,,,,,,
1838,obey,?곕Ⅴ??以묎퀬,,,,,,,
1839,object,?щЪ,以묎퀬,,,,,,
1840,objective,媛앷??곸씤,以묎퀬,,,,,,
1841,oblige,(?섎Т瑜?蹂꾩닔?놁씠 -?섍쾶?섎떎,?꾨Ц,,,,,,
1842,observe,愿李고븯??以묎퀬,,,,,,,
1843,obsess,?섎윭遺숇떎,?꾨Ц,,,,,,
1844,obtain,?삳떎,以묎퀬,,,,,,
1845,obvious,紐낅갚??以묎퀬,,,,,,,
1846,occasion,寃쎌슦,以묎퀬,,,,,,
1847,occupation,?쇱쭅??以묎퀬,,,,,,,
1848,occupy,李⑥??섎떎,以묎퀬,,,,,,
1849,occur,?쇱뼱?섎떎,以묎퀬,,,,,,
1850,ocean,???珥덈벑,,,,,,,
1851,odd,臾섑븳,以묎퀬,,,,,,
1852,of,異쒖떊??珥덈벑,,,,,,,
1853,off,?⑥뼱??珥덈벑,,,,,,,
1854,offend,?깅굹寃??섎떎,以묎퀬,,,,,,
1855,offer,沅뚰븯??以묎퀬,,,,,,,
1856,office,?꾨Т,珥덈벑,,,,,,
1857,officer,怨듬Т??以묎퀬,,,,,,,
1858,official,怨듬Т??以묎퀬,,,,,,,
1859,often,?먯＜,珥덈벑,,,,,,
1860,oil,湲곕쫫,珥덈벑,,,,,,
1861,old,?숈?,珥덈벑,,,,,,
1862,olive,?щ━釉뚮굹臾?以묎퀬,,,,,,,
1863,on,?꾩뿉,珥덈벑,,,,,,
1864,once,?쒕쾲,以묎퀬,,,,,,
1865,one,?섎굹(??,珥덈벑,,,,,,
1866,only,?좎씪??珥덈벑,,,,,,,
1867,open,?대떎,珥덈벑,,,,,,
1868,operate,?吏곸씠??以묎퀬,,,,,,,
1869,opinion,?섍껄,以묎퀬,,,,,,
1870,opportunity,湲고쉶,以묎퀬,,,,,,
1871,oppose,諛섎??섎떎,以묎퀬,,,,,,
1872,optimist,?숈쿇媛,以묎퀬,,,,,,
1873,option,?좏깮(沅뚯쓽 ?먯쑀),以묎퀬,,,,,,
1874,or,?뱀?,珥덈벑,,,,,,
1875,oral,援щ몢??以묎퀬,,,,,,,
1876,orbit,沅ㅻ룄,?꾨Ц,,,,,,
1877,orchestra,愿?꾩븙??以묎퀬,,,,,,,
1878,order,?쒖꽌,以묎퀬,,,,,,
1879,ordinary,蹂댄넻??以묎퀬,,,,,,,
1880,organ,(?앸Ъ??湲곌?,以묎퀬,,,,,,
1881,organic,?좉린泥댁쓽,以묎퀬,,,,,,
1882,organize,議곗쭅?섎떎,以묎퀬,organise,,,,,
1883,orient,?숈뼇 ?숈뼇???숈そ?쇰줈 ?ν븯寃??섎떎,以묎퀬,,,,,,
1884,origin,湲곗썝,以묎퀬,,,,,,
1885,other,?ㅻⅨ ?ㅻⅨ 寃?洹몃젃吏 ?딄퀬,以묎퀬,,,,,,
1886,otherwise,??諛⑸쾿?쇰줈??以묎퀬,,,,,,,
1887,ought,au?댁빞留??섎떎,以묎퀬,,,,,,
1888,ounce,?듦눌???꾨Ц,,,,,,,
1889,out,諛뽰쑝濡?珥덈벑,,,,,,,
1890,outcome,寃곌낵,以묎퀬,,,,,,
1891,outline,?ㅺ낸,以묎퀬,,,,,,
1892,output,?곗텧,以묎퀬,,,,,,
1893,outrage,遺덈쾿(?곸씤 ?됱쐞),?꾨Ц,,,,,,
1894,outstanding,?덉뿉 ?꾨뒗,以묎퀬,,,,,,
1895,over,?꾩そ,珥덈벑,,,,,,
1896,overall,?ш큵(?꾨㈃)?곸씤 ?㏃샆,以묎퀬,,,,,,
1897,overcome,?닿린??以묎퀬,,,,,,,
1898,overhead,癒몃━?꾩뿉 癒몃━ ?꾩쓽,以묎퀬,,,,,,
1899,overlap,寃뱀튂??以묎퀬,,,,,,,
1900,overlook,?대젮??蹂대떎,以묎퀬,,,,,,
1901,overnight,?꾨궇諛ㅼ쓽,以묎퀬,,,,,,
1902,oversea,?댁쇅(濡쒕?????以묎퀬,overseas,,,,,,
1903,overwhelm,?뺣룄?섎떎,?꾨Ц,,,,,,
1904,owe,吏遺덊븷 ?섎Т媛 ?덈떎,以묎퀬,,,,,,
1905,own,?먭린?먯떊???뚯쑀?섎떎,以묎퀬,,,,,,
1906,pace,?쒓구??以묎퀬,,,,,,,
1907,pack,袁몃윭誘?以묎퀬,,,,,,,
1908,packet,?ㅻ컻,以묎퀬,,,,,,
1909,pad,(諛륁뿉)?㏓???寃?以묎퀬,,,,,,,
1910,pain,怨좏넻,以묎퀬,,,,,,
1911,paint,?꾨즺,珥덈벑,,,,,,
1912,pair,?쒖뙇,以묎퀬,,,,,,
1913,palace,沅곸쟾,珥덈벑,,,,,,
1914,pale,李쎈갚??以묎퀬,,,,,,,
1915,palm,?먮컮??以묎퀬,,,,,,,
1916,pan,?⑤퉬 ?ш툑 ?깆쓣 ?⑤퉬濡?媛?ㅻ궡??以묎퀬,,,,,,,
1917,panel,?먮꼍???꾨Ц,,,,,,,
1918,panic,?뚯뿰?쒓났??以묎퀬,,,,,,,
1919,pants,諛붿?,珥덈벑,,,,,,
1920,paper,醫낆씠,珥덈벑,,,,,,
1921,paragraph,(臾몄옣????以묎퀬,,,,,,,
1922,parallel,?됲뻾???꾨Ц,,,,,,,
1923,pardon,?⑹꽌?섎떎 ?⑹꽌,以묎퀬,,,,,,
1924,parent,?대쾭??珥덈벑,,,,,,,
1925,park,怨듭썝,珥덈벑,,,,,,
1926,parliament,?섑쉶,?꾨Ц,,,,,,
1927,part,遺遺?珥덈벑,,,,,,,
1928,participate,李멸??섎떎,以묎퀬,,,,,,
1929,particle,?낆옄,?꾨Ц,,,,,,
1930,particular,?뱀닔??以묎퀬,,,,,,,
1931,pass,吏?섍???珥덈벑,,,,,,,
1932,passage,"?듯뻾, ?듦낵",以묎퀬,,,,,,
1933,passenger,?밴컼,以묎퀬,,,,,,
1934,passion,?뺤뿴,以묎퀬,,,,,,
1935,passport,?ш텒,以묎퀬,,,,,,
1936,past,怨쇨굅,以묎퀬,,,,,,
1937,pat,?≫넚 媛蹂띻쾶 移섎떎,?꾨Ц,,,,,,
1938,patch,源곷뒗 ?앷쾴,?꾨Ц,,,,,,
1939,patent,?꾨ℓ?뱁뿀沅??꾨ℓ?뱁뿀???꾨Ц,,,,,,,
1940,path,?묒? 湲?以묎퀬,,,,,,,
1941,patient,?몃궡?ъ씠 媛뺥븳 ?섏옄,以묎퀬,,,,,,
1942,patrol,?쒗쉶,?꾨Ц,,,,,,
1943,pattern,紐⑤쾾,以묎퀬,,,,,,
1944,pause,以묒?,以묎퀬,,,,,,
1945,pave,(?꾨줈瑜??ъ옣?섎떎,?꾨Ц,,,,,,
1946,pay,吏遺덊븯??珥덈벑,,,,,,,
1947,peace,?됲솕,珥덈벑,,,,,,
1948,peak,(毓곗”????以묎퀬,,,,,,,
1949,pear,?쒖뼇諛?珥덈벑,,,,,,,
1950,peasant,?띾?,?꾨Ц,,,,,,
1951,peel,猿띿쭏??踰쀪린??踰쀬뼱吏??猿띿쭏,以묎퀬,,,,,,
1952,peer,?숇즺,以묎퀬,,,,,,
1953,penalty,踰?以묎퀬,,,,,,,
1954,pencil,?고븘 ?고븘濡??곕떎,珥덈벑,,,,,,
1955,people,?щ엺??珥덈벑,,,,,,,
1956,pepper,怨좎텛,以묎퀬,,,,,,
1957,per,-???섑븯??以묎퀬,,,,,,,
1958,perceive,吏媛곹븯??以묎퀬,,,,,,,
1959,perfect,?꾩쟾??以묎퀬,,,,,,,
1960,perform,?ㅽ븯??以묎퀬,,,,,,,
1961,perhaps,?꾨쭏,以묎퀬,,,,,,
1962,period,?쒓컙,以묎퀬,,,,,,
1963,permanent,?곴뎄??以묎퀬,,,,,,,
1964,permit,?덇??섎떎,以묎퀬,,,,,,
1965,persist,怨좎쭛?섎떎,?꾨Ц,,,,,,
1966,person,?щ엺,以묎퀬,,,,,,
1967,personality,媛쒖꽦,以묎퀬,,,,,,
1968,perspective,?먭렐踰뺤쓽 ?먭렐 ?붾쾿,?꾨Ц,,,,,,
1969,persuade,?ㅻ뱷?섎떎,以묎퀬,,,,,,
1970,pet,?좎셿?숇Ъ,以묎퀬,,,,,,
1971,phase,援?㈃,?꾨Ц,,,,,,
1972,phenomenon,?꾩긽,以묎퀬,,,,,,
1973,philosophy,泥좏븰,以묎퀬,,,,,,
1974,photograph,?ъ쭊 珥ъ쁺?섎떎,以묎퀬,,,,,,
1975,phrase,援?以묎퀬,,,,,,,
1976,physical,臾쇱쭏??以묎퀬,,,,,,,
1977,physics,臾쇰━??以묎퀬,,,,,,,
1978,pick,?곕떎,珥덈벑,,,,,,
1979,picnic,?뚰뭾,珥덈벑,,,,,,
1980,picture,洹몃┝,珥덈벑,,,,,,
1981,piece,??議곌컖,以묎퀬,,,,,,
1982,pig,?쇱?,珥덈벑,,,,,,
1983,pile,?볦븘 ?щ┛ 寃?以묎퀬,,,,,,,
1984,pill,?뚯빟,以묎퀬,,,,,,
1985,pin,? ??쇰줈 苑귣떎,以묎퀬,,,,,,
1986,pinch,瑗ъ쭛???꾨Ц,,,,,,,
1987,pine,?뚮굹臾??섏쿃??吏??以묎퀬,,,,,,,
1988,pink,?곕텇?띿깋,珥덈벑,,,,,,
1989,pioneer,媛쒖쿃??以묎퀬,,,,,,,
1990,pitch,?섏????꾨Ц,,,,,,,
1991,pity,遺덉뙇???ш?,以묎퀬,,,,,,
1992,place,?μ냼,珥덈벑,,,,,,
1993,plain,遺꾨챸??以묎퀬,,,,,,,
1994,plan,怨꾪쉷,珥덈벑,,,,,,
1995,planet,?됱꽦,以묎퀬,,,,,,
1996,plant,?ㅻЪ,以묎퀬,,,,,,
1997,plate,??以묎퀬,,,,,,,
1998,platform,??以묎퀬,,,,,,,
1999,play,???珥덈벑,,,,,,,
2000,pleasant,湲곕텇 醫뗭?,以묎퀬,,,,,,
2001,please,湲곗걯寃??섎떎,珥덈벑,,,,,,
2002,pleasure,利먭굅?,以묎퀬,,,,,,
2003,plenty,留롮쓬,以묎퀬,,,,,,
